#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.03,14986025711841.164,5.455594781168514e-06,6.7999325241066746e-15,1.59e-08,1
0.03,1041817710285.7538,2.06913808111479e-05,9.781362363598689e-14,1.59e-08,1
0.03,72426415339.57373,7.847599703514623e-05,1.4070003002839075e-12,1.59e-08,1
0.03,5035031279.225207,0.00029763514416313193,2.0239042472457664e-11,1.59e-08,1
0.03,350031416.5465869,0.0011288378916846883,2.9113199004697205e-10,1.59e-08,1
0.03,24333891.285484362,0.004281332398719396,4.187876806243917e-09,1.59e-08,1
0.03,1691672.757665285,0.01623776739188724,6.024134058979421e-08,1.59e-08,0
0.03,117603.82535269498,0.06158482110660267,8.665458190790714e-07,1.59e-08,0
0.03,44603.48486870989,0.1,2.2847805150309716e-06,1.59e-08,0
0.03,21556.552450409632,0.14384498882876628,4.7275281183765584e-06,1.59e-08,0
0.03,10418.131205445345,0.20691380811147897,9.78191099483394e-06,1.59e-08,0
0.03,8175.73229235221,0.23357214690901212,1.2464845337850612e-05,1.59e-08,0
0.03,5035.010061483038,0.29763514416313175,2.024012821449967e-05,1.59e-08,0
0.03,2433.385213562858,0.42813323987193935,4.187962535495192e-05,1.59e-08,0
0.03,1176.0380899170004,0.6158482110660264,8.66547352900069e-05,1.59e-08,0
0.03,568.3710019017246,0.8858667904100825,0.00017930062371701927,1.59e-08,0
0.03,568.3710019017235,0.8858667904100832,0.0001793006237175991,1.59e-08,0
0.03,274.68973925809905,1.2742749857031335,0.0003709977643734421,1.59e-08,0
0.03,132.7556343979315,1.8329807108324356,0.0007676456251312292,1.59e-08,0
0.03,64.15987187780995,2.636650898730358,0.001588364828661331,1.24e-10,0
0.03,39.51274228658449,3.359818286283788,0.002579149888347569,1.24e-10,0
0.03,31.008018455007353,3.79269019073225,0.0032865462010307238,1.24e-10,0
0.03,14.985958991139983,5.455594781168517,0.006800317968003963,1.24e-10,0
0.03,7.2426094322624595,7.847599703514611,0.014070796969321418,1.24e-10,0
0.03,3.5003026118021547,11.288378916846883,0.02911442198178561,1.24e-10,0
0.03,2.7468973735867435,12.742749857031322,0.03709977970146653,1.24e-10,0
0.03,1.6916718332252758,16.23776739188721,0.06024175943526618,1.24e-10,0
0.03,0.8175731955030138,23.357214690901213,0.12464851881240793,1.24e-10,0
0.03,0.39512742182867905,33.59818286283781,0.25791499744899027,1.24e-10,0
0.03,0.19096232648748637,48.32930238571752,0.5336617435178234,1.24e-10,0
0.03,0.19096232648748637,48.32930238571752,0.5336617435178234,1.24e-10,0
0.03,0.09229076020523216,69.51927961775606,1.1042198368160847,1.24e-10,0
0.03,0.044603480571746706,100.0,2.284783315517458,1.24e-10,0
0.03,0.01327556336955763,183.29807108324374,7.676456768021738,1.24e-10,0
0.03,0.0009229076019351733,695.192796177562,110.42198386034013,1.24e-10,0
0.03,6.415987163961729e-05,2636.6508987303664,1588.3649036853415,1.24e-10,0
0.03,4.460348056741745e-06,10000.0,22847.833183434865,1.24e-10,0
0.04,3.334527720850354e+16,1e-07,4.578329544485886e-18,6.86e-08,1
0.04,2318139650188372.5,3.792690190732254e-07,6.585697621843177e-17,6.86e-08,1
0.04,161155398533286.03,1.438449888287663e-06,9.473196009342496e-16,6.86e-08,1
0.04,11203407211387.164,5.455594781168514e-06,1.3626717759698057e-14,6.86e-08,1
0.04,778852797475.4962,2.06913808111479e-05,1.9601351007759125e-13,6.86e-08,1
0.04,54145284402.976776,7.847599703514623e-05,2.819556798807795e-12,6.86e-08,1
0.04,3764140477.067169,0.00029763514416313193,4.0558008262729585e-11,6.86e-08,1
0.04,261680091.76120976,0.0011288378916846883,5.834136508156735e-10,6.86e-08,1
0.04,18191781.66029098,0.004281332398719396,8.39229140123984e-09,6.86e-08,1
0.04,1264678.2097308752,0.01623776739188724,1.2072057226638598e-07,6.86e-08,0
0.04,87919.48425439963,0.06158482110660267,1.7365135993004804e-06,6.86e-08,0
0.04,33345.13463385741,0.1,4.578583553705894e-06,6.86e-08,0
0.04,16115.470488499885,0.14384498882876628,9.473725090914329e-06,6.86e-08,0
0.04,7788.494307519359,0.20691380811147897,1.9602450436756463e-05,6.86e-08,0
0.04,6112.098529893766,0.23357214690901212,2.4978913942898687e-05,6.86e-08,0
0.04,3764.1249125342497,0.29763514416313175,4.056018403437346e-05,6.86e-08,0
0.04,1819.1752933948544,0.42813323987193935,8.392463198284403e-05,6.86e-08,0
0.04,879.1947224867931,0.6158482110660264,0.00017365166729994851,6.86e-08,0
0.04,424.9086739752671,0.8858667904100825,0.00035930929974200377,6.86e-08,0
0.04,424.90867397526637,0.8858667904100832,0.00035930929974316577,6.86e-08,0
0.04,205.3553972308212,1.2742749857031335,0.000743460586803398,6.86e-08,0
0.04,99.2468306651154,1.8329807108324356,0.0015383226577684993,9.38e-11,0
0.04,47.96530082374314,2.636650898730358,0.003183002058162714,9.38e-11,0
0.04,29.539344682364945,3.359818286283788,0.0051684847553816315,9.38e-11,0
0.04,23.1812952495632,3.79269019073225,0.0065860708656865765,9.38e-11,0
0.04,11.203358269428747,5.455594781168517,0.013627490169598,9.38e-11,0
0.04,5.414504892477825,7.847599703514611,0.02819715905639035,9.38e-11,0
0.04,2.616792441197305,11.288378916846883,0.05834381586524075,9.38e-11,0
0.04,2.05355395837014,12.742749857031322,0.07434606522147438,9.38e-11,0
0.04,1.2646775313842793,16.23776739188721,0.12072141161133702,9.38e-11,0
0.04,0.6112098282365417,23.357214690901213,0.24978927055518685,9.38e-11,0
0.04,0.2953934460625721,33.59818286283781,0.5168484928006472,9.38e-11,0
0.04,0.1427615917627078,48.32930238571752,1.069430899833981,9.38e-11,0
0.04,0.1427615917627078,48.32930238571752,1.069430899833981,9.38e-11,0
0.04,0.06899568136947536,69.51927961775606,2.212800201709264,9.38e-11,0
0.04,0.03334513148073292,100.0,4.578589165737895,9.38e-11,0
0.04,0.009924683014972369,183.29807108324374,15.383227613144353,9.38e-11,0
0.04,0.0006899568136087892,695.192796177562,221.2800205290955,9.38e-11,0
0.04,4.796530064895617e-05,2636.6508987303664,3183.002208507003,9.38e-11,0
0.04,3.3345131477556084e-06,10000.0,45785.891714011115,9.38e-11,0
0.05,2.6570493875691496e+16,1e-07,8.667184871231562e-18,2.65e-07,1
0.05,1847161593325161.2,3.792690190732254e-07,1.2467311109854689e-16,2.65e-07,1
0.05,128413343304646.14,1.438449888287663e-06,1.793360227493288e-15,2.65e-07,1
0.05,8927203118946.72,5.455594781168514e-06,2.5796588223677076e-14,2.65e-07,1
0.05,620612728957.64,2.06913808111479e-05,3.710710014633224e-13,2.65e-07,1
0.05,43144549057.91401,7.847599703514623e-05,5.337671697232354e-12,2.65e-07,1
0.05,2999377434.653472,0.00029763514416313193,7.677991551424859e-11,2.65e-07,1
0.05,208514370.08279318,0.0011288378916846883,1.1044539102934743e-09,2.65e-07,1
0.05,14495745.624238739,0.004281332398719396,1.5887353752286643e-08,2.65e-07,1
0.05,1007732.7463957006,0.01623776739188724,2.285347761507915e-07,2.65e-07,1
0.05,70056.82826260565,0.06158482110660267,3.287374630922309e-06,2.65e-07,0
0.05,26570.383043805177,0.1,8.66766573326812e-06,2.65e-07,0
0.05,12841.280408812949,0.14384498882876628,1.7934603873387176e-05,2.65e-07,0
0.05,6206.101117839122,0.20691380811147897,3.7109181463170635e-05,2.65e-07,0
0.05,4870.29970437844,0.23357214690901212,4.728730488316077e-05,2.65e-07,0
0.05,2999.3653346620163,0.29763514416313175,7.678403444341079e-05,2.65e-07,0
0.05,1449.5723284283222,0.42813323987193935,0.00015887678979365895,2.65e-07,0
0.05,700.5681892515167,0.6158482110660264,0.0003287380449707796,2.65e-07,0
0.05,338.5797170346111,0.8858667904100825,0.0006802044493645999,2.65e-07,0
0.05,338.57971703461044,0.8858667904100832,0.0006802044493667994,2.65e-07,0
0.05,163.63321473517954,1.2742749857031335,0.0014074369893403845,2.65e-07,0
0.05,79.08279097553863,1.8329807108324356,0.002912181558127891,7.74e-11,0
0.05,38.22016112602465,2.636650898730358,0.006025705885858134,7.74e-11,0
0.05,23.53781783808835,3.359818286283788,0.00978440115412551,7.74e-11,0
0.05,18.471537222867838,3.79269019073225,0.012468017693634072,7.74e-11,0
0.05,8.927165072995875,5.455594781168517,0.02579805046428997,7.74e-11,0
0.05,4.314436600337315,7.847599703514611,0.05337972900609532,7.74e-11,0
0.05,2.0851371100566243,11.288378916846883,0.11045003058073191,7.74e-11,0
0.05,1.6363321365113839,12.742749857031322,0.1407437113169877,7.74e-11,0
0.05,1.0077322188205333,16.23776739188721,0.22853636510540704,7.74e-11,0
0.05,0.48702995118621645,23.357214690901213,0.4728732970651622,7.74e-11,0
0.05,0.23537817778895148,33.59818286283781,0.9784401480919682,7.74e-11,0
0.05,0.11375663128392012,48.32930238571752,2.0245277728057194,7.74e-11,0
0.05,0.11375663128392012,48.32930238571752,2.0245277728057194,7.74e-11,0
0.05,0.0549777863137548,69.51927961775606,4.1890275142844295,7.74e-11,0
0.05,0.02657038059145388,100.0,8.667676357343646,7.74e-11,0
