#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  mu  mu) ,  Allowed/excluded  (1/0) 

0.4076923076923077,19773930.758775964,6.6147406412301455e-06,1.909346089049258e-11,1000000.0,1
0.4076923076923077,12330049.034511182,8.376776400682924e-06,3.062054129239021e-11,1000000.0,1
0.4076923076923077,7688411.120615265,1.0608183551394482e-05,4.910673647342734e-11,1000000.0,1
0.4076923076923077,4794114.391861166,1.3433993325988988e-05,7.875339490519501e-11,1000000.0,1
0.4076923076923077,2989373.541837945,1.7012542798525893e-05,1.2629829858279716e-10,1000000.0,1
0.4076923076923077,1864026.0598063394,2.1544346900318823e-05,2.025469566487607e-10,1000000.0,1
0.4076923076923077,1162314.8110390222,2.7283333764867696e-05,3.248283717378685e-10,1000000.0,1
0.4076923076923077,724762.2463523372,3.455107294592218e-05,5.209334045494322e-10,8.30925498556949e-08,1
0.4076923076923077,451926.0227814293,4.37547937507418e-05,8.354308215694668e-10,5.342483095469938e-08,1
0.4076923076923077,281798.7942393636,5.541020330009492e-05,1.3397965188566698e-09,3.279761811877986e-08,1
0.4076923076923077,175715.83439209056,7.017038286703822e-05,2.1486581441436805e-09,2.1517419858396203e-08,1
0.4076923076923077,109567.72457053426,8.886238162743407e-05,3.44584755130989e-09,1.3962786897026382e-08,1
0.4076923076923077,68321.01890412427,0.00011253355826007646,5.526183738023976e-09,9.413951970332375e-09,1
0.4076923076923077,42601.60111119354,0.00014251026703029977,8.862487689755722e-09,6.4963369849161835e-09,0
0.4076923076923077,26564.234217358753,0.00018047217668271703,1.4213075802205648e-08,4.761989086325663e-09,0
0.4076923076923077,16564.11682377533,0.00022854638641349906,2.279420688575149e-08,3.8533618659174094e-09,0
0.4076923076923077,10328.531092084297,0.0002894266124716752,3.65567880139283e-08,3.5319478409576856e-09,0
0.4076923076923077,6440.323146867232,0.0003665241237079626,5.8630478782624036e-08,3.925231330898972e-09,0
0.4076923076923077,4015.8266269463998,0.00046415888336127773,9.40366121084037e-08,5.604807011267996e-09,0
0.4076923076923077,2504.031296790192,0.0005878016072274912,1.508327427236307e-07,1.1610063603055545e-08,0
0.4076923076923077,1561.3542015428466,0.0007443803013251688,2.4194997232943835e-07,4.180634054225174e-08,0
0.4076923076923077,973.5531411773973,0.0009426684551178855,3.881416563697556e-07,3.460859883201222e-07,0
0.4076923076923077,607.036081495491,0.0011937766417144358,6.227143737720478e-07,4.01544308657244e-06,1
0.4076923076923077,378.50053062858564,0.0015117750706156615,9.991166055363829e-07,358974.3589772557,1
0.4076923076923077,236.00244702735046,0.0019144819761699576,1.6031096527844688e-06,358974.35902010754,1
0.4076923076923077,147.15180984265243,0.0024244620170823282,2.57228669083321e-06,1000000.0,1
0.4076923076923077,91.75185387019962,0.00307029062975785,4.127376242432091e-06,1000000.0,1
0.4076923076923077,57.20909995806029,0.003888155180308085,6.62244529588073e-06,1000000.0,1
0.4076923076923077,35.671145612240586,0.0049238826317067365,1.062541347231909e-05,1000000.0,1
0.4076923076923077,22.24185806640346,0.006235507341273912,1.7047179313578632e-05,1000000.0,1
0.4076923076923077,13.868430092341027,0.007896522868499725,2.7348708673819287e-05,1000000.0,1
0.4076923076923077,8.647404111652147,0.01,4.387315447268685e-05,1000000.0,1
0.46153846153846156,735160125.1654819,1e-06,4.3676988400236533e-13,1000000.0,1
0.46153846153846156,458409635.74224603,1.2663801734674021e-06,7.004560497772722e-13,1000000.0,1
0.46153846153846156,285841664.8922825,1.6037187437513308e-06,1.1233344964496356e-12,1000000.0,1
0.46153846153846156,178236779.98192933,2.030917620904735e-06,1.8015125880946342e-12,1000000.0,1
0.46153846153846156,111139675.00040251,2.571913809059347e-06,2.889119506261975e-12,1000000.0,1
0.46153846153846156,69301225.93137048,3.257020655659783e-06,4.633335109308578e-12,1000000.0,1
0.46153846153846156,43212830.29964882,4.124626382901348e-06,7.430566371581983e-12,1000000.0,1
0.46153846153846156,26945392.051310547,5.223345074266844e-06,1.1916538594191539e-11,1000000.0,1
0.46153846153846156,16801818.98921691,6.6147406412301455e-06,1.9110776374244124e-11,1000000.0,1
0.46153846153846156,10476786.559702268,8.376776400682924e-06,3.064831045840245e-11,1000000.0,1
0.46153846153846156,6532807.944921675,1.0608183551394482e-05,4.9151270405876455e-11,1000000.0,1
0.46153846153846156,4073537.1843003514,1.3433993325988988e-05,7.882481480846681e-11,1000000.0,1
0.46153846153846156,2540057.096074723,1.7012542798525893e-05,1.2641283602311147e-10,1000000.0,1
0.46153846153846156,1583854.4612154807,2.1544346900318823e-05,2.0273064249583618e-10,1000000.0,1
0.46153846153846156,987613.6061061315,2.7283333764867696e-05,3.251229521927401e-10,1000000.0,1
0.46153846153846156,615827.1828695487,3.455107294592218e-05,5.214058287975757e-10,6.389982990895431e-08,1
