#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.14842163662965904,4.994577855385762e-05,2636.6508987303664,328.6077895579285
0.14842163662965904,3.472194541795023e-06,10000.0,4726.85861768338
0.163821734664195,3.1244955586140612e+16,1e-07,8.555502268203028e-18
0.163821734664195,2172126804035850.5,3.792690190732254e-07,1.2306661281662756e-16
0.163821734664195,151004690653571.12,1.438449888287663e-06,1.770251554007375e-15
0.163821734664195,10497737311731.893,5.455594781168514e-06,2.5464181384705392e-14
0.163821734664195,729795134154.1943,2.06913808111479e-05,3.66289464847492e-13
0.163821734664195,50734830515.60107,7.847599703514623e-05,5.268882638420909e-12
0.163821734664195,3527045417.5300426,0.00029763514416313193,7.578509444807906e-11
0.163821734664195,245189629.4422734,0.0011288378916846883,1.08923203476353e-09
0.163821734664195,17042004.5079211,0.004281332398719396,1.5657603303560203e-08
0.163821734664195,1184469.6361753503,0.01623776739188724,2.2538327251606992e-07
0.163821734664195,82334.70669698394,0.06158482110660267,3.243645893432258e-06
0.163821734664195,31226.47460083896,0.1,8.553102003161974e-06
0.163821734664195,15091.408999995667,0.14384498882876628,1.7698329634991827e-05
0.163821734664195,7293.528910288504,0.20691380811147897,3.662143727593525e-05
0.163821734664195,5723.660517203816,0.23357214690901212,4.6666167388390526e-05
0.163821734664195,3524.8967754404157,0.29763514416313175,7.57764910478722e-05
0.163821734664195,1703.5529895117882,0.42813323987193935,0.000156794468255648
0.163821734664195,823.3135762491003,0.6158482110660264,0.0003244329499295179
0.163821734664195,397.90113484504946,0.8858667904100825,0.000671301698376808
0.163821734664195,397.90113484504894,0.8858667904100832,0.000671301698376811
0.163821734664195,192.30264965589043,1.2742749857031335,0.0013890233109148283
0.163821734664195,92.93846409095377,1.8329807108324356,0.0028740917050230482
0.163821734664195,44.91648949243263,2.636650898730358,0.005946907981830801
0.163821734664195,27.661733090340746,3.359818286283788,0.009656463129700966
0.163821734664195,21.707818680235665,3.79269019073225,0.012304995930861847
0.163821734664195,10.4912348612094,5.455594781168517,0.025460767573973555
0.163821734664195,5.070339789822516,7.847599703514611,0.05268188968445685
0.163821734664195,2.450459569979999,11.288378916846883,0.10900617021709717
0.163821734664195,1.9230225224766817,12.742749857031322,0.13890385792098334
0.163821734664195,1.1842899216491072,16.23776739188721,0.22554891296227514
0.163821734664195,0.5723590258493114,23.357214690901213,0.4666919817742689
0.163821734664195,0.27661711374752035,33.59818286283781,0.9656503484627655
0.163821734664195,0.13368711779636236,48.32930238571752,1.998064192193972
0.163821734664195,0.13368711779636236,48.32930238571752,1.998064192193972
0.163821734664195,0.06461005021530433,69.51927961775606,4.134271115902788
0.163821734664195,0.031225586138523304,100.0,8.554378389508765
0.163821734664195,0.009293831708026216,183.29807108324374,28.74115898140068
0.163821734664195,0.0006461004776169011,695.192796177562,413.4271952081133
0.163821734664195,4.4916439625054535e-05,2636.6508987303664,5946.943126035033
0.163821734664195,3.122558523170117e-06,10000.0,85543.7971262356
0.1808197332802014,2.8282871367739016e+16,1e-07,9.502185854169021e-18
0.1808197332802014,1966204843005560.2,3.792690190732254e-07,1.3668418180220485e-16
0.1808197332802014,136689144265382.08,1.438449888287663e-06,1.966133460035055e-15
0.1808197332802014,9502530839601.701,5.455594781168514e-06,2.8281844477168267e-14
0.1808197332802014,660609097249.4811,2.06913808111479e-05,4.0682014339962364e-13
0.1808197332802014,45925067187.330956,7.847599703514623e-05,5.85189819837631e-12
0.1808197332802014,3192674407.600774,0.00029763514416313193,8.417277980957807e-11
0.1808197332802014,221945028.79933894,0.0011288378916846883,1.2101906316184292e-09
0.1808197332802014,15426324.10081128,0.004281332398719396,1.7410427823518795e-08
0.1808197332802014,1072170.5890307624,0.01623776739188724,2.50747234455869e-07
0.1808197332802014,74528.44810722083,0.06158482110660267,3.6093539610667694e-06
0.1808197332802014,28265.844198877297,0.1,9.51769496526708e-06
0.1808197332802014,13660.567084680331,0.14384498882876628,1.969456537520315e-05
0.1808197332802014,6602.016441357951,0.20691380811147897,4.0752448146034224e-05
0.1808197332802014,5180.98992232826,0.23357214690901212,5.1930385899225714e-05
0.1808197332802014,3190.69479380376,0.29763514416313175,8.43248820950729e-05
0.1808197332802014,1542.0358994223361,0.42813323987193935,0.0001744833678922534
0.1808197332802014,745.2536271781266,0.6158482110660264,0.00036103531171189035
0.1808197332802014,360.17535113352045,0.8858667904100825,0.0007470393265533204
0.1808197332802014,360.17535113351994,0.8858667904100832,0.000747039326553322
0.1808197332802014,174.07005676502172,1.2742749857031335,0.0015457382183714096
0.1808197332802014,84.12678425458463,1.8329807108324356,0.0031983612365407447
0.1808197332802014,40.65786781954887,2.636650898730358,0.006617873255008426
0.1808197332802014,25.03906907202524,3.359818286283788,0.010745966386127655
0.1808197332802014,19.649657113025572,3.79269019073225,0.013693325569659357
0.1808197332802014,9.496539928298914,5.455594781168517,0.028333427460805284
0.1808197332802014,4.589610733253506,7.847599703514611,0.05862584002812945
0.1808197332802014,2.218126592545003,11.288378916846883,0.1213050535441343
0.1808197332802014,1.740696906481897,12.742749857031322,0.1545760270230216
0.1808197332802014,1.0720050218258617,16.23776739188721,0.25099704298923275
0.1808197332802014,0.5180925195611458,23.357214690901213,0.5193477373860729
0.1808197332802014,0.2503904906629685,33.59818286283781,1.0746024648802996
0.1808197332802014,0.1210119741003666,48.32930238571752,2.2235012908620138
0.1808197332802014,0.1210119741003666,48.32930238571752,2.2235012908620138
0.1808197332802014,0.05848424178475504,69.51927961775606,4.600731782286061
0.1808197332802014,0.028265025690174535,100.0,9.519550177502651
0.1808197332802014,0.008412664881933348,183.29807108324374,31.98396170897435
0.1808197332802014,0.0005848423952433584,695.192796177562,460.07329892638967
0.1808197332802014,4.065782187866953e-05,2636.6508987303664,6617.923996500704
0.1808197332802014,2.8265024854754624e-06,10000.0,95195.5208733926
0.19958142923186353,2.58249004430349e+16,1e-07,1.0478640769991898e-18
0.19958142923186353,1795328474998791.2,3.792690190732254e-07,1.5072999644282455e-17
0.19958142923186353,124809942257903.11,1.438449888287663e-06,2.1681754639693448e-16
0.19958142923186353,8676697273657.652,5.455594781168514e-06,3.1188117238810962e-15
