# m [GeV], tau [ps], c, BR_theo(B->K mu mu)
0.016237767391887217,2.223358489593103,1.1288378916846883e-05,0.0
0.016237767391887217,0.19695994947044573,3.792690190732254e-05,0.0
0.016237767391887217,0.017448031651829683,0.00012742749857031334,0.0
0.016237767391887217,0.0015456654779723604,0.0004281332398719391,0.0
0.016237767391887217,0.00013692606456298107,0.0014384498882876629,0.0
0.016237767391887217,1.2129907818927245e-05,0.004832930238571752,0.0
0.016237767391887217,1.0745526725663429e-06,0.01623776739188721,0.0
0.016237767391887217,9.51912043435481e-08,0.05455594781168514,0.0
0.016237767391887217,8.43267701838119e-09,0.18329807108324336,0.0
0.016237767391887217,7.470229702335693e-10,0.6158482110660255,0.0
0.016237767391887217,6.617628722921606e-11,2.06913808111479,0.0
0.016237767391887217,5.862337599589154e-12,6.951927961775605,0.0
0.016237767391887217,5.193250215465666e-13,23.357214690901213,0.0
0.016237767391887217,4.600527905924679e-14,78.47599703514607,0.0
0.016237767391887217,4.0754548917306404e-15,263.6650898730355,0.0
0.016237767391887217,3.610310144798501e-16,885.8667904100832,0.0
0.016237767391887217,3.198253860463097e-17,2976.3514416313133,0.0
0.016237767391887217,2.8332268823128972e-18,10000.0,0.0
0.0206913808111479,153.74236863345013,1e-06,0.0
0.0206913808111479,13.619525868136613,3.359818286283781e-06,0.0
0.0206913808111479,1.2065085697225264,1.1288378916846883e-05,0.0
0.0206913808111479,0.10688059021922397,3.792690190732254e-05,0.0
0.0206913808111479,0.009468198883979026,0.00012742749857031334,0.0
0.0206913808111479,0.0008387577037089834,0.0004281332398719391,0.0
0.0206913808111479,7.430318441154311e-05,0.0014384498882876629,0.0
0.0206913808111479,6.582322993177411e-06,0.004832930238571752,0.0
0.0206913808111479,5.831088520652906e-07,0.01623776739188721,0.0
0.0206913808111479,5.165576996274235e-08,0.05455594781168514,0.0
0.0206913808111479,4.576015790736261e-09,0.18329807108324336,0.0
0.0206913808111479,4.053741145648097e-10,0.6158482110660255,0.0
0.0206913808111479,3.5910748502993215e-11,2.06913808111479,0.0
0.0206913808111479,3.1812140026176363e-12,6.951927961775605,0.0
0.0206913808111479,2.8181318515259507e-13,23.357214690901213,0.0
0.0206913808111479,2.4964894218026905e-14,78.47599703514607,0.0
0.0206913808111479,2.2115570723182343e-15,263.6650898730355,0.0
0.0206913808111479,1.959144965709311e-16,885.8667904100832,0.0
0.0206913808111479,1.7355414627858618e-17,2976.3514416313133,0.0
0.0206913808111479,1.53745854527883e-18,10000.0,0.0
0.026366508987303583,81.42889387947655,1e-06,0.0
0.026366508987303583,7.21351528848583,3.359818286283781e-06,0.0
0.026366508987303583,0.6390213653103879,1.1288378916846883e-05,0.0
0.026366508987303583,0.05660878219029318,3.792690190732254e-05,0.0
0.026366508987303583,0.005014785361769764,0.00012742749857031334,0.0
0.026366508987303583,0.00044424398866863305,0.0004281332398719391,0.0
0.026366508987303583,3.9354343389514824e-05,0.0014384498882876629,0.0
0.026366508987303583,3.4862996584814474e-06,0.004832930238571752,0.0
0.026366508987303583,3.0884126987386616e-07,0.01623776739188721,0.0
0.026366508987303583,2.7359276017631562e-08,0.05455594781168514,0.0
0.026366508987303583,2.4236689412139624e-09,0.18329807108324336,0.0
0.026366508987303583,2.1470482421240544e-10,0.6158482110660255,0.0
0.026366508987303583,1.901998845690447e-11,2.06913808111479,0.0
0.026366508987303583,1.684917642020647e-12,6.951927961775605,0.0
0.026366508987303583,1.4926125913531536e-13,23.357214690901213,0.0
0.026366508987303583,1.3222559276612361e-14,78.47599703514607,0.0
0.026366508987303583,1.1713426152741733e-15,263.6650898730355,0.0
0.026366508987303583,1.0376535232048613e-16,885.8667904100832,0.0
0.026366508987303583,9.192227961964872e-18,2976.3514416313133,0.0
0.026366508987303583,8.143089481481889e-19,10000.0,0.0
0.03359818286283781,42.22134002222975,1e-06,0.0
0.03359818286283781,3.7402482981700214,3.359818286283781e-06,0.0
0.03359818286283781,0.33133617644761804,1.1288378916846883e-05,0.0
0.03359818286283781,0.029351972392067126,3.792690190732254e-05,0.0
0.03359818286283781,0.0026001944909375472,0.00012742749857031334,0.0
0.03359818286283781,0.0002303430357597563,0.0004281332398719391,0.0
0.03359818286283781,2.040545773438073e-05,0.0014384498882876629,0.0
0.03359818286283781,1.807667622352754e-06,0.004832930238571752,0.0
0.03359818286283781,1.6013612479382774e-07,0.01623776739188721,0.0
0.03359818286283781,1.4185956777793582e-08,0.05455594781168514,0.0
0.03359818286283781,1.2566876407996144e-09,0.18329807108324336,0.0
0.03359818286283781,1.1132580744442116e-10,0.6158482110660255,0.0
0.03359818286283781,9.86198417770637e-12,2.06913808111479,0.0
0.03359818286283781,8.736404430375507e-13,6.951927961775605,0.0
0.03359818286283781,7.739290594622966e-14,23.357214690901213,0.0
0.03359818286283781,6.855980530228479e-15,78.47599703514607,0.0
0.03359818286283781,6.073485470359366e-16,263.6650898730355,0.0
0.03359818286283781,5.380299081002539e-17,885.8667904100832,0.0
0.03359818286283781,4.766228278537884e-18,2976.3514416313133,0.0
0.03359818286283781,4.2222433475238537e-19,10000.0,0.0
0.04281332398719394,21.505874518188364,1e-06,0.0
0.04281332398719394,1.9051340039340072,3.359818286283781e-06,0.0
0.04281332398719394,0.168769495023488,1.1288378916846883e-05,0.0
0.04281332398719394,0.014950729548336867,3.792690190732254e-05,0.0
0.04281332398719394,0.0013244358664045127,0.00012742749857031334,0.0
0.04281332398719394,0.00011732760737149607,0.0004281332398719391,0.0
0.04281332398719394,1.0393733272080451e-05,0.0014384498882876629,0.0
0.04281332398719394,9.2075468749741e-07,0.004832930238571752,0.0
0.04281332398719394,8.156704980778407e-08,0.01623776739188721,0.0
0.04281332398719394,7.225769501714952e-09,0.05455594781168514,0.0
0.04281332398719394,6.401073669569095e-10,0.18329807108324336,0.0
0.04281332398719394,5.670499786431891e-11,0.6158482110660255,0.0
0.04281332398719394,5.023307764596546e-12,2.06913808111479,0.0
0.04281332398719394,4.4499816109094314e-13,6.951927961775605,0.0
0.04281332398719394,3.942090949267905e-14,23.357214690901213,0.0
0.04281332398719394,3.4921674625944726e-15,78.47599703514607,0.0
0.04281332398719394,3.093595183208754e-16,263.6650898730355,0.0
0.04281332398719394,2.740513236184766e-17,885.8667904100832,0.0
0.04281332398719394,2.427729664722816e-18,2976.3514416313133,0.0
0.04281332398719394,2.1506450860996702e-19,10000.0,0.0
0.0545559478116852,10.794827894107062,1e-06,0.0
0.0545559478116852,0.9562779542123411,3.359818286283781e-06,0.0
0.0545559478116852,0.08471348845375605,1.1288378916846883e-05,0.0
0.0545559478116852,0.007504486848654442,3.792690190732254e-05,0.0
0.0545559478116852,0.0006647977662410727,0.00012742749857031334,0.0
0.0545559478116852,5.889234563631828e-05,0.0004281332398719391,0.0
0.0545559478116852,5.217113346260821e-06,0.0014384498882876629,0.0
0.0545559478116852,4.621710442509275e-07,0.004832930238571752,0.0
0.0545559478116852,4.0942428863894224e-08,0.01623776739188721,0.0
0.0545559478116852,3.6269617303750053e-09,0.05455594781168514,0.0
0.0545559478116852,3.2130072224061687e-10,0.18329807108324336,0.0
0.0545559478116852,2.8462970114268956e-11,0.6158482110660255,0.0
