#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) 

0.11037591174995746,0.03613714588709062,695.192796177562,0.13164185750961618
0.11037591174995746,0.0025120893824153137,2636.6508987303664,1.892098156125116
0.11037591174995746,0.0001746618970764332,10000.0,27.258151760251124
0.12182841894634397,1.3006280436969997e+18,1e-07,2.726477490463749e-21
0.12182841894634397,9.041872464846656e+16,3.792690190732254e-07,3.921901241576394e-20
0.12182841894634397,6285844601517648.0,1.438449888287663e-06,5.641458402820814e-19
0.12182841894634397,436987388486669.06,5.455594781168514e-06,8.114955209316994e-18
0.12182841894634397,30379048449637.98,2.06913808111479e-05,1.1672956414300264e-16
0.12182841894634397,2111929563692.0579,7.847599703514623e-05,1.6790962850112899e-15
0.12182841894634397,146819821871.6342,0.00029763514416313193,2.415295863548816e-14
0.12182841894634397,10206808250.444336,0.0011288378916846883,3.47428206407219e-13
0.12182841894634397,709569957.0893756,0.004281332398719396,4.9975806257260616e-12
0.12182841894634397,49328792.58339457,0.01623776739188724,7.188768869942537e-11
0.12182841894634397,3429302.529281303,0.06158482110660267,1.0340678187207262e-09
0.12182841894634397,1300628.5953252662,0.1,2.7264764505736555e-09
0.12182841894634397,628585.2030904393,0.14384498882876628,5.641475506555901e-09
0.12182841894634397,303791.56997522735,0.20691380811147897,1.1673192555481985e-08
0.12182841894634397,238403.85717870432,0.23357214690901212,1.48750625321496e-08
0.12182841894634397,146821.4692943674,0.29763514416313175,2.4155100714810564e-08
0.12182841894634397,70959.45108124249,0.42813323987193935,4.999184751215816e-08
0.12182841894634397,34296.45214814457,0.6158482110660264,1.0351018461364493e-07
0.12182841894634397,16577.973418095306,0.8858667904100825,2.1454446276378996e-07
0.12182841894634397,16577.973418095287,0.8858667904100832,2.1454446276379116e-07
0.12182841894634397,8015.039760238211,1.2742749857031335,4.4561703546954084e-07
0.12182841894634397,3871.202365543873,1.8329807108324356,9.291287158656989e-07
0.12182841894634397,1871.3985676762252,2.636650898730358,1.9009891140665209e-06
0.12182841894634397,1151.6000722253107,3.359818286283788,3.100601954609298e-06
0.12182841894634397,904.1704164185197,3.79269019073225,3.918929309472795e-06
0.12182841894634397,436.6165387211022,5.455594781168517,8.152375429887222e-06
0.12182841894634397,210.99084162534484,7.847599703514611,1.686050524147988e-05
0.12182841894634397,101.94436906580694,11.288378916846883,3.4769669073669405e-05
0.12182841894634397,80.0077183191501,12.742749857031322,4.435465326882445e-05
0.12182841894634397,49.28079853311472,16.23776739188721,7.214231612399447e-05
