#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.11794763338717075,395753.8676925949,0.01623776739188724,5.220834437184805e-06,2.0046e-06,0
0.11794763338717075,27510.60570165408,0.06158482110660267,7.515587020476152e-05,2.0046e-06,0
0.11794763338717075,10433.812628075162,0.1,0.0001981819873637156,2.0046e-06,0
0.11794763338717075,5042.5630435209905,0.14384498882876628,0.0004100886485794276,2.0046e-06,0
0.11794763338717075,2437.0268023750373,0.20691380811147897,0.0008485630187734313,2.0046e-06,0
0.11794763338717075,1912.4792888971506,0.23357214690901212,0.0010813136116989627,2.0046e-06,0
0.11794763338717075,1177.795100739301,0.29763514416313175,0.001755841750032272,2.0046e-06,0
0.11794763338717075,569.2191602847067,0.42813323987193935,0.003633147890300987,2.0046e-06,0
0.11794763338717075,275.0993138992085,0.6158482110660264,0.007517583964068022,1.7179178045937653e-06,0
0.11794763338717075,132.95346641422867,0.8858667904100825,0.015555062368063996,1.0181432738150422e-06,0
0.11794763338717075,132.95346641422853,0.8858667904100832,0.015555062368064098,1.0181432738150416e-06,0
0.11794763338717075,64.255444848978,1.2742749857031335,0.03218577801466799,6.799474935174175e-07,0
0.11794763338717075,31.05419547317228,1.8329807108324356,0.066597115704776,5.017211147165228e-07,0
0.11794763338717075,15.00827174155219,2.636650898730358,0.13779905530775974,3.1867991406868855e-07,0
0.11794763338717075,9.242816005122833,3.359818286283788,0.22375524127998045,2.5291143866466006e-07,0
0.11794763338717075,7.253391590162448,3.79269019073225,0.2851258875150716,2.3021741122173532e-07,0
0.11794763338717075,3.5055130699733237,5.455594781168517,0.589965716151379,1.8746411164909791e-07,0
0.11794763338717075,1.6941898488222398,7.847599703514611,1.2207218022397954,1.855e-07,0
0.11794763338717075,0.8187900802741734,11.288378916846883,2.5258437980024784,1.855e-07,0
0.11794763338717075,0.6425536679345503,12.742749857031322,3.2186201768365486,1.855e-07,0
0.11794763338717075,0.39571551540273436,16.23776739188721,5.2263222227953126,1.855e-07,0
0.11794763338717075,0.19124654184463097,23.357214690901213,10.81398612363685,1.855e-07,0
0.11794763338717075,0.09242811743333063,33.59818286283781,22.37563594656573,1.855e-07,0
0.11794763338717075,0.04466986366592691,48.32930238571752,46.298288265295334,1.855e-07,0
0.11794763338717075,0.04466986366592691,48.32930238571752,46.298288265295334,1.855e-07,0
0.11794763338717075,0.02158863325192201,69.51927961775606,95.79756261656196,1.855e-07,0
0.11794763338717075,0.010433635766485538,100.0,198.21840110870647,1.855e-07,0
0.11794763338717075,0.0031054166612005333,183.29807108324374,665.9778652103087,1.855e-07,0
0.11794763338717075,0.00021588632770611738,695.192796177562,9579.75857641501,1.855e-07,0
0.11794763338717075,1.5008261954075902e-05,2636.6508987303664,137800.0292648918,1.855e-07,0
0.11794763338717075,1.0433635588601382e-06,10000.0,1982184.377353379,1.855e-07,0
0.1280954922105415,9291146597425588.0,1e-07,3.3619142334264918e-16,2.0046e-06,1
0.1280954922105415,645913818273750.0,3.792690190732254e-07,4.835945153688895e-15,2.0046e-06,1
0.1280954922105415,44903463339317.375,1.438449888287663e-06,6.956264769872292e-14,2.0046e-06,1
0.1280954922105415,3121656421501.5034,5.455594781168514e-06,1.0006238358099083e-12,2.0046e-06,1
0.1280954922105415,217015303473.76584,2.06913808111479e-05,1.4393474019457696e-11,2.0046e-06,1
0.1280954922105415,15086744350.968626,7.847599703514623e-05,2.07043384116941e-10,2.0046e-06,1
0.1280954922105415,1048809545.9555197,0.00029763514416313193,2.9785147216987587e-09,2.0046e-06,1
