#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.05,1816811105335.1482,2.06913808111479e-05,4.056009625501247e-11
0.05,126303399244.45793,7.847599703514623e-05,5.834366592695481e-10
0.05,8780521328.768167,0.00029763514416313193,8.392443973482033e-09
0.05,610415517.463896,0.0011288378916846883,1.207211009590788e-07
0.05,42435647.06111853,0.004281332398719396,1.7365125414556053e-06
0.05,2950095.6331060454,0.01623776739188724,2.4978862623719157e-05
0.05,205088.54172871992,0.06158482110660267,0.0003593084031117988
0.05,77783.74181563251,0.1,0.0009473707388023323
0.05,37592.34914594661,0.14384498882876628,0.0019602405697775084
0.05,18168.128949630525,0.20691380811147897,0.004056007121018791
0.05,14257.623879842873,0.23357214690901212,0.00516846754799691
0.05,8780.538246199563,0.29763514416313175,0.008392433324491393
0.05,4243.580502557709,0.42813323987193935,0.017365080472376872
0.05,2050.899827476035,0.6158482110660264,0.035930655459928434
0.05,991.1919711593663,0.8858667904100825,0.07434512188771424
0.05,991.1919711593644,0.8858667904100832,0.07434512188771436
0.05,479.04209864557237,1.2742749857031335,0.15382904868186673
0.05,231.5233275152478,1.8329807108324356,0.31829022827320846
0.05,111.71910971117858,2.636650898730358,0.6585855287706551
0.05,68.80083552538126,3.359818286283788,1.069417176632881
0.05,53.991619712499606,3.79269019073225,1.3627620575169486
0.05,26.092995482103863,5.455594781168517,2.8201612645171177
0.05,12.610316220539145,7.847599703514611,5.837165427208631
0.05,6.094532799616427,11.288378916846883,12.084207458956449
0.05,4.782803256657205,12.742749857031322,15.401970787567132
0.05,2.9455989685212485,16.23776739188721,25.021838773463557
0.05,1.423734035780028,23.357214690901213,51.819315427106645
0.05,0.6879034024801353,33.59818286283781,106.9172582741721
0.05,0.3324813035872808,48.32930238571752,221.18739846561184
0.05,0.3324813035872808,48.32930238571752,221.18739846561184
0.05,0.16070361089640114,69.51927961775606,457.6460821502935
0.05,0.07767757794097917,100.0,946.974011278661
0.05,0.023111939094044995,183.29807108324374,3182.424773321165
0.05,0.001606578979547376,695.192796177562,45763.15036946757
0.05,0.00011168756110563554,2636.6508987303664,658296.7405196641
0.05,7.76456547716244e-06,10000.0,9471068.622084588
0.06,4.5013680275965144e+16,1e-07,1.3223117190984086e-15
0.06,3129318625729084.0,3.792690190732254e-07,1.9020791446185765e-14
0.06,217547976555112.62,1.438449888287663e-06,2.736045533090882e-13
0.06,15123778612411.963,5.455594781168514e-06,3.935664391424526e-12
0.06,1051394194233.3152,2.06913808111479e-05,5.661256004182326e-11
