#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.6230769230769231,260675.60968794432,8.886238162743407e-05,8.651733173309502e-10
0.6230769230769231,162544.46236463613,0.00011253355826007646,1.3874951517080195e-09
0.6230769230769231,101354.71243672058,0.00014251026703029977,2.2251534441607846e-09
0.6230769230769231,63199.79753004532,0.00018047217668271703,3.5685248443075944e-09
0.6230769230769231,39408.27037371699,0.00022854638641349906,5.722924733771417e-09
0.6230769230769231,24573.04361811838,0.0002894266124716752,9.17800852443573e-09
0.6230769230769231,15322.524054742613,0.0003665241237079626,1.4719093855166474e-08
0.6230769230769231,9554.35251868014,0.00046415888336127773,2.360575199598554e-08
0.6230769230769231,5957.601867612428,0.0005878016072274912,3.785837720636371e-08
0.6230769230769231,3714.8431202091547,0.0007443803013251688,6.071812868309811e-08
0.6230769230769231,2316.3684082459777,0.0009426684551178855,9.738528307932481e-08
0.6230769230769231,1444.3493339635168,0.0011937766417144358,1.562046113744936e-07
0.6230769230769231,900.6036677415425,0.0015117750706156615,2.505682219927975e-07
0.6230769230769231,561.5542400996105,0.0019144819761699576,4.019693592463787e-07
0.6230769230769231,350.1437257148321,0.0024244620170823282,6.449018966943816e-07
0.6230769230769231,218.3223402616148,0.00307029062975785,1.0347192409943486e-06
0.6230769230769231,136.1281992873044,0.003888155180308085,1.6602385753737572e-06
0.6230769230769231,84.87839923030825,0.0049238826317067365,2.6639548325182383e-06
0.6230769230769231,52.92324475153387,0.006235507341273912,4.2744586523442425e-06
0.6230769230769231,32.99869938630332,0.007896522868499725,6.858426895927812e-06
0.6230769230769231,20.575428592349294,0.01,1.100400340647819e-05
0.676923076923077,1876122390.2126124,1e-06,1.097126351239573e-13
0.676923076923077,1169857493.7261484,1.2663801734674021e-06,1.7594820938072274e-13
0.676923076923077,729465499.0336084,1.6037187437513308e-06,2.8217144132899873e-13
0.676923076923077,454858747.43925625,2.030917620904735e-06,4.525236294508063e-13
0.676923076923077,283627505.88626456,2.571913809059347e-06,7.257206266438018e-13
0.676923076923077,176856139.510361,3.257020655659783e-06,1.1638517719403792e-12
0.676923076923077,110278775.62289107,4.124626382901348e-06,1.866490902288272e-12
0.676923076923077,68764411.49460396,5.223345074266844e-06,2.993326446782728e-12
0.676923076923077,42878099.26559262,6.6147406412301455e-06,4.800453733335548e-12
0.676923076923077,26736670.271357507,8.376776400682924e-06,7.698577642092856e-12
0.676923076923077,16671670.37215498,1.0608183551394482e-05,1.2346353294109968e-11
0.676923076923077,10395632.296034012,1.3433993325988988e-05,1.9800078269612905e-11
0.676923076923077,6482204.146275497,1.7012542798525893e-05,3.175375684031815e-11
0.676923076923077,4041983.15055292,2.1544346900318823e-05,5.0924095520084235e-11
0.676923076923077,2520381.5572411288,2.7283333764867696e-05,8.166792775418782e-11
0.676923076923077,1571585.76666632,3.455107294592218e-05,1.3097238975424708e-10
0.676923076923077,979963.4548646893,4.37547937507418e-05,2.1004288482889119e-10
0.676923076923077,611056.9279023496,5.541020330009492e-05,3.3684973376226084e-10
0.676923076923077,381024.991981009,7.017038286703822e-05,5.402122923019403e-10
0.676923076923077,237588.4091052608,8.886238162743407e-05,8.663487471204497e-10
0.676923076923077,148148.4219729356,0.00011253355826007646,1.3893802111573823e-09
0.676923076923077,92378.05144876978,0.00014251026703029977,2.2281765513304015e-09
0.676923076923077,57602.394673418414,0.00018047217668271703,3.5733730641646348e-09
0.676923076923077,35918.006578905464,0.00022854638641349906,5.730699934697583e-09
0.676923076923077,22396.688156411506,0.0002894266124716752,9.190477823837425e-09
0.676923076923077,13965.457367004865,0.0003665241237079626,1.4739091308289842e-08
0.676923076923077,8708.154237158496,0.00046415888336127773,2.363782292054481e-08
0.676923076923077,5429.956226435731,0.0005878016072274912,3.7909811842998486e-08
0.676923076923077,3385.831410043544,0.0007443803013251688,6.080062073764603e-08
0.676923076923077,2111.215106741406,0.0009426684551178855,9.751759139877468e-08
0.676923076923077,1316.4279580181221,0.0011937766417144358,1.5641683208913202e-07
0.676923076923077,820.8400970991144,0.0015117750706156615,2.5090864588249014e-07
0.676923076923077,511.8191870603822,0.0019144819761699576,4.0251547803206495e-07
0.676923076923077,319.1326221210853,0.0024244620170823282,6.457780658369301e-07
0.676923076923077,198.98623286366447,0.00307029062975785,1.036125019689614e-06
0.676923076923077,124.07176261077521,0.003888155180308085,1.662494190816481e-06
0.676923076923077,77.36099250273323,0.0049238826317067365,2.6675741071004186e-06
0.676923076923077,48.23600326188045,0.006235507341273912,4.2802659742620635e-06
0.676923076923077,30.07611077770266,0.007896522868499725,6.867744824697216e-06
0.676923076923077,18.753129104343763,0.01,1.1018953560510442e-05
0.7307692307692307,1724680821.5442543,1e-06,1.0987414236481999e-13
0.7307692307692307,1075425992.4058933,1.2663801734674021e-06,1.7620722157015476e-13
0.7307692307692307,670582667.0609156,1.6037187437513308e-06,2.8258682403207423e-13
0.7307692307692307,418142314.3354869,2.030917620904735e-06,4.5318978647761783e-13
0.7307692307692307,260732947.07017273,2.571913809059347e-06,7.267889551541338e-13
0.7307692307692307,162580220.55336612,3.257020655659783e-06,1.165565070397274e-12
0.7307692307692307,101377015.87721501,4.124626382901348e-06,1.869238551138239e-12
0.7307692307692307,63213712.67046228,5.223345074266844e-06,2.997732902747243e-12
0.7307692307692307,39416956.93917822,6.6147406412301455e-06,4.807520449365959e-12
0.7307692307692307,24578472.43310035,8.376776400682924e-06,7.7099106670645e-12
0.7307692307692307,15325924.52601405,1.0608183551394482e-05,1.2364528278723672e-11
0.7307692307692307,9556491.48601889,1.3433993325988988e-05,1.9829225833216045e-11
0.7307692307692307,5958957.278447794,1.7012542798525893e-05,3.180050133468659e-11
0.7307692307692307,3715712.1822814327,2.1544346900318823e-05,5.099906054259596e-11
0.7307692307692307,2316935.0557429916,2.7283333764867696e-05,8.17881505677795e-11
0.7307692307692307,1444726.5515947896,3.455107294592218e-05,1.3116519333864067e-10
0.7307692307692307,900860.2984734697,4.37547937507418e-05,2.103520875635711e-10
0.7307692307692307,561732.0969693335,5.541020330009492e-05,3.3734560801658795e-10
0.7307692307692307,350268.4577654591,7.017038286703822e-05,5.410075352275962e-10
0.7307692307692307,218410.14996838348,8.886238162743407e-05,8.676240933553549e-10
0.7307692307692307,136189.80480806905,0.00011253355826007646,1.3914255085396898e-09
0.7307692307692307,84921.24740732994,0.00014251026703029977,2.2314566352469917e-09
0.7307692307692307,52952.699614332276,0.00018047217668271703,3.5786334029787518e-09
0.7307692307692307,33018.6865304374,0.00022854638641349906,5.739136060215387e-09
0.7307692307692307,20588.81591705655,0.0002894266124716752,9.20400706585039e-09
0.7307692307692307,12838.158433148976,0.0003665241237079626,1.4760788628641006e-08
0.7307692307692307,8005.2275282655,0.00046415888336127773,2.3672620008101246e-08
0.7307692307692307,4991.647354754345,0.0005878016072274912,3.79656186397005e-08
0.7307692307692307,3112.525349717973,0.0007443803013251688,6.089012496408702e-08
0.7307692307692307,1940.7967330021715,0.0009426684551178855,9.766114648429129e-08
0.7307692307692307,1210.1652135748943,0.0011937766417144358,1.5664709246491836e-07
0.7307692307692307,754.5814608291757,0.0015117750706156615,2.512780072544874e-07
0.7307692307692307,470.50487827224697,0.0019144819761699576,4.031080192563202e-07
0.7307692307692307,293.3720723547725,0.0024244620170823282,6.467287131353112e-07
0.7307692307692307,182.9239616500445,0.00307029062975785,1.037650295671318e-06
0.7307692307692307,114.05662607727179,0.003888155180308085,1.6649415434081117e-06
0.7307692307692307,71.11637340727388,0.0049238826317067365,2.671501035883283e-06
0.7307692307692307,44.34236829592804,0.006235507341273912,4.286566944105601e-06
0.7307692307692307,27.648351675906895,0.007896522868499725,6.877854818585688e-06
0.7307692307692307,17.23936690323821,0.01,1.1035174543913875e-05
0.7846153846153846,1596659258.167437,1e-06,1.1004837243560352e-13
0.7846153846153846,995598052.5783997,1.2663801734674021e-06,1.7648663760040517e-13
