#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  mu  mu) 

0.5692307692307693,1126469998.1445887,0.0003359818286283781,1.0237605867607178e-16
0.5692307692307693,427235171.2136549,0.0005455594781168515,2.69929927140699e-16
0.5692307692307693,162037064.30172443,0.0008858667904100823,7.117109851564649e-16
0.5692307692307693,61455638.43316195,0.0014384498882876629,1.876533409809824e-15
0.5692307692307693,23308219.707007565,0.002335721469090121,4.947763509562809e-15
0.5692307692307693,8840085.626565695,0.003792690190732246,1.3045525160715258e-14
0.5692307692307693,3352770.6060614577,0.00615848211066026,3.439649603640344e-14
0.5692307692307693,1271602.020900603,0.01,9.069155501014236e-14
0.6230769230769231,97010924322980.7,1e-06,7.682509083046836e-22
0.6230769230769231,36793238107363.78,1.6237767391887209e-06,2.0256094478319523e-21
0.6230769230769231,13954535325507.479,2.6366508987303555e-06,5.34082497110285e-21
0.6230769230769231,5292522924527.87,4.281332398719396e-06,1.4081890960019897e-20
0.6230769230769231,2007289978008.2456,6.951927961775606e-06,3.712903045555968e-20
0.6230769230769231,761302900954.7043,1.1288378916846883e-05,9.78962915196431e-20
0.6230769230769231,288738604462.69226,1.8329807108324375e-05,2.5811834501766134e-19
0.6230769230769231,109509607283.13875,2.9763514416313192e-05,6.805679663697881e-19
0.6230769230769231,41533601333.371635,4.8329302385717524e-05,1.7944201401772376e-18
0.6230769230769231,15752408236.28778,7.847599703514606e-05,4.73125947530685e-18
0.6230769230769231,5974400419.819347,0.00012742749857031334,1.2474679547754797e-17
0.6230769230769231,2265904986.777043,0.00020691380811147902,3.289137504138061e-17
0.6230769230769231,859387561.6495591,0.0003359818286283781,8.672307356625337e-17
0.6230769230769231,325939077.51206136,0.0005455594781168515,2.286584698794357e-16
0.6230769230769231,123618594.20713432,0.0008858667904100823,6.028925602512637e-16
0.6230769230769231,46884702.965655185,0.0014384498882876629,1.5896172118084014e-15
0.6230769230769231,17781915.304829076,0.002335721469090121,4.19126565701048e-15
0.6230769230769231,6744129.576412993,0.003792690190732246,1.105090440929118e-14
0.6230769230769231,2557839.4104599925,0.00615848211066026,2.9137377379097945e-14
0.6230769230769231,970109.2456721779,0.01,7.68250946461061e-14
0.676923076923077,75684675225396.12,1e-06,6.584990831783861e-22
0.676923076923077,28704852531611.6,1.6237767391887209e-06,1.736232199475403e-21
0.676923076923077,10886861262305.93,2.6366508987303555e-06,4.577838189151434e-21
0.676923076923077,4129049191741.0464,4.281332398719396e-06,1.2070161175668297e-20
0.676923076923077,1566020436656.7231,6.951927961775606e-06,3.182480131164639e-20
0.676923076923077,593943034859.4204,1.1288378916846883e-05,8.391089098027167e-20
0.676923076923077,225264192216.50735,1.8329807108324375e-05,2.212437261164199e-19
0.676923076923077,85435729214.27837,2.9763514416313192e-05,5.833424693034653e-19
0.676923076923077,32403125212.90622,4.8329302385717524e-05,1.538070445957634e-18
0.676923076923077,12289501514.407032,7.847599703514606e-05,4.055354823652247e-18
0.676923076923077,4661027184.269248,0.00012742749857031334,1.0692554940505055e-17
