#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B0->K0  mu  mu) 

0.21357941055617136,2315.02957222344,0.0040992806114776605,1.7481132966358833e-06
0.21357941055617136,1060.9381991325463,0.006055111790272853,3.817459242006121e-06
0.21357941055617136,486.2126017933956,0.008944100750274077,8.335913018962755e-06
0.21357941055617136,222.82685059134266,0.013211471728657949,1.8200351163029565e-05
0.21357941055617136,102.12095830513836,0.019514872440561434,3.9732473527436614e-05
0.21357941055617136,46.8023811675911,0.02882572465755633,8.672696292610155e-05
0.21357941055617136,21.449926521340938,0.04257893073931596,0.0001892843004429735
0.21357941055617136,9.830767144196377,0.06289400750340614,0.0004130831946509098
0.21357941055617136,4.505591315442784,0.09290172653833195,0.0009014310629614857
0.21357941055617136,2.064991146377383,0.13722659974140763,0.0019670135237577165
0.21357941055617136,0.9464245860094062,0.2026995662865173,0.004292081073713918
0.228080823067608,937561.0953548774,0.00012245513306678618,1.5570258574379442e-09
0.228080823067608,429705.061747162,0.00018088040080399561,3.397235274475864e-09
0.228080823067608,196943.2960649351,0.0002671812816304737,7.412369235630717e-09
0.228080823067608,90263.3470755975,0.0003946576684726452,1.6173109667351035e-08
0.228080823067608,41369.4984537813,0.0005829550421113759,3.528939637699379e-08
0.228080823067608,18960.324064753597,0.0008610920508355232,7.700667370630667e-08
0.228080823067608,8689.705393558579,0.001271932595910999,1.6806406918836846e-07
0.228080823067608,3982.497983548128,0.0018787916192828846,3.668678485858667e-07
0.228080823067608,1825.143492379812,0.0027751926163661227,8.010053148448754e-07
0.228080823067608,836.4350409187781,0.0040992806114776605,1.7491366195864145e-06
0.228080823067608,383.3237803405399,0.006055111790272853,3.819693937697565e-06
0.228080823067608,175.67173371626805,0.008944100750274077,8.340792771947059e-06
0.228080823067608,80.50877138975132,0.013211471728657949,1.8211005463804904e-05
0.228080823067608,36.89695775714847,0.019514872440561434,3.975573253460835e-05
0.228080823067608,16.91000075470468,0.02882572465755633,8.67777320868296e-05
0.228080823067608,7.749996149559267,0.04257893073931596,0.0001893951057687065
0.228080823067608,3.5519192788455856,0.06289400750340614,0.0004133250099102712
0.228080823067608,1.6278990667823565,0.09290172653833195,0.0009019587528698972
0.228080823067608,0.7460945579206013,0.13722659974140763,0.001968164996545662
0.228080823067608,0.3419492787774466,0.2026995662865173,0.0042945936212881244
0.24356683874973065,664366.8409119858,0.00012245513306678618,1.5579084609944957e-09
0.24356683874973065,304494.0706387291,0.00018088040080399561,3.39916100483936e-09
0.24356683874973065,139556.34048190605,0.0002671812816304737,7.416570953743392e-09
0.24356683874973065,63961.671452227936,0.0003946576684726452,1.618227743162013e-08
0.24356683874973065,29314.914126679723,0.0005829550421113759,3.530940025608933e-08
0.24356683874973065,13435.509072631306,0.0008610920508355232,7.705032513983045e-08
0.24356683874973065,6157.62764760538,0.001271932595910999,1.6815933679473546e-07
0.24356683874973065,2822.0450043941237,0.0018787916192828846,3.6707580883284193e-07
0.24356683874973065,1293.318188212881,0.0027751926163661227,8.014593676728534e-07
0.24356683874973065,592.7077277049582,0.0040992806114776605,1.7501281248414143e-06
0.24356683874973065,271.6277484797733,0.006055111790272853,3.821859148147174e-06
0.24356683874973065,124.48306096943583,0.008944100750274077,8.345520789614352e-06
0.24356683874973065,57.04946429765592,0.013211471728657949,1.8221328461855703e-05
0.24356683874973065,26.145619147695225,0.019514872440561434,3.977826827337339e-05
0.24356683874973065,11.982625844570792,0.02882572465755633,8.682692249436544e-05
0.24356683874973065,5.4917386177286724,0.04257893073931596,0.00018950246538164712
0.24356683874973065,2.516931866322561,0.06289400750340614,0.00041355930539103714
0.24356683874973065,1.1535484663293967,0.09290172653833195,0.0009024700330214064
0.24356683874973065,0.5286913977845441,0.13722659974140763,0.001969280661469716
0.24356683874973065,0.24230928942624536,0.2026995662865173,0.00429702803487843
0.2601043092559875,530598.6600521753,0.00012245513306678618,1.5588998004041514e-09
0.2601043092559875,243185.14399826984,0.00018088040080399561,3.4013239832006872e-09
