#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) ,  BR_Na62(K+->pi+  a) ,  Allowed/excluded  (1/0) 

0.04,147348.4132335419,1.2742749857031335,7.567652835947521e-09,6.86e-08,1
0.04,71158.1240707126,1.8329807108324356,1.578937568804476e-08,6.86e-08,1
0.04,34380.19849299743,2.636650898730358,3.257474552507265e-08,6.86e-08,1
0.04,21168.399071153242,3.359818286283788,5.277823717913406e-08,6.86e-08,1
0.04,16610.354027378213,3.79269019073225,6.718184300653937e-08,6.86e-08,1
0.04,8025.632851281981,5.455594781168517,1.3865564769690624e-07,6.86e-08,0
0.04,3878.718763946099,7.847599703514611,2.8691836297268273e-07,6.86e-08,0
0.04,1873.940115346037,11.288378916846883,5.91881218857236e-07,6.86e-08,0
0.04,1470.5234663302397,12.742749857031322,7.538981153015643e-07,6.86e-08,0
0.04,905.6666875990572,16.23776739188721,1.2249283856993848e-06,6.86e-08,0
0.04,437.646772719501,23.357214690901213,2.5315921693914015e-06,6.86e-08,0
0.04,211.56864537122328,33.59818286283781,5.253344496929853e-06,6.86e-08,0
0.04,102.25129103740836,48.32930238571752,1.0865018698354683e-05,6.86e-08,0
0.04,102.25129103740836,48.32930238571752,1.0865018698354683e-05,6.86e-08,0
0.04,49.4066254136125,69.51927961775606,2.2423334893529034e-05,9.38e-11,0
0.04,23.879250253656593,100.0,4.640171839717894e-05,9.38e-11,0
0.04,7.108177720302639,183.29807108324374,0.00015597574543463043,9.38e-11,0
0.04,0.4941946685565285,695.192796177562,0.0022424732300989855,9.38e-11,0
0.04,0.03434327492750208,2636.6508987303664,0.03224634343955673,9.38e-11,0
0.04,0.002387835485097147,10000.0,0.4645549632234544,9.38e-11,0
0.05,1.2249775658265446e+19,1e-07,8.819285944945757e-23,2.65e-07,1
0.05,8.515955792417352e+17,3.792690190732254e-07,1.2686100882283109e-21,2.65e-07,1
0.05,5.9202311194551256e+16,1.438449888287663e-06,1.824832039692499e-20,2.65e-07,1
0.05,4115702025951428.5,5.455594781168514e-06,2.62492944363893e-19,2.65e-07,1
0.05,286120639965486.6,2.06913808111479e-05,3.775829464967956e-18,2.65e-07,1
0.05,19890900774177.258,7.847599703514623e-05,5.43134147207871e-17,2.65e-07,1
0.05,1382801092774.2751,0.00029763514416313193,7.81271253392769e-16,2.65e-07,1
0.05,96131335829.51013,0.0011288378916846883,1.1238195474919106e-14,2.65e-07,1
0.05,6682981220.746099,0.004281332398719396,1.6165581093083656e-13,2.65e-07,1
0.05,464596045.31157035,0.01623776739188724,2.3253379709391384e-12,2.65e-07,1
0.05,32298387.38923745,0.06158482110660267,3.3448849702874074e-11,2.65e-07,1
0.05,12249780.9392119,0.1,8.819306796543376e-11,2.65e-07,1
0.05,5920236.286971403,0.14384498882876628,1.824840842025164e-10,2.65e-07,1
0.05,2861211.4236288383,0.20691380811147897,3.7758665022915876e-10,2.65e-07,1
0.05,2245365.218953971,0.23357214690901212,4.811504797412054e-10,2.65e-07,1
0.05,1382805.9453464905,0.29763514416313175,7.812868070142883e-10,2.65e-07,1
0.05,668302.7872315584,0.42813323987193935,1.6166235598803902e-09,2.65e-07,1
0.05,322988.31270073657,0.6158482110660264,3.3451606131337246e-09,2.65e-07,1
0.05,156100.21607434118,0.8858667904100825,6.922244701632257e-09,2.65e-07,1
0.05,156100.21607434098,0.8858667904100832,6.922244701631762e-09,2.65e-07,1
0.05,75444.47808384564,1.2742749857031335,1.4326239632412107e-08,2.65e-07,1
0.05,36433.974023741204,1.8329807108324356,2.989069195650926e-08,2.65e-07,1
0.05,17603.151167656346,2.636650898730358,6.166688938745485e-08,2.65e-07,1
0.05,10838.521465304993,3.359818286283788,9.991389531148941e-08,2.65e-07,1
0.05,8504.737457318599,3.79269019073225,1.2718120171778016e-07,2.65e-07,1
0.05,4109.238031657519,5.455594781168517,2.624874684865848e-07,2.65e-07,1
0.05,1985.959119608268,7.847599703514611,5.431619700312788e-07,2.65e-07,0
0.05,959.4839327743522,11.288378916846883,1.1204837694184785e-06,2.65e-07,0
0.05,752.9288804126272,12.742749857031322,1.4271961587521427e-06,2.65e-07,0
0.05,463.71419914990196,16.23776739188721,2.3188983382951267e-06,2.65e-07,0
0.05,224.08135659644722,23.357214690901213,4.792529051803183e-06,2.65e-07,0
0.05,108.32615152361547,33.59818286283781,9.945048189463803e-06,2.65e-07,0
0.05,52.354113234498186,48.32930238571752,2.056844636739714e-05,7.74e-11,0
0.05,52.354113234498186,48.32930238571752,2.056844636739714e-05,7.74e-11,0
0.05,25.296893082865264,69.51927961775606,4.2449366534967816e-05,7.74e-11,0
0.05,12.226514872763694,100.0,8.78425783429134e-05,7.74e-11,0
0.05,3.6394878378610693,183.29807108324374,0.0002952759533743654,7.74e-11,0
0.05,0.2530346794930277,695.192796177562,0.004245201195152983,7.74e-11,0
0.05,0.017584243930153586,2636.6508987303664,0.06104519504247426,7.74e-11,0
0.05,0.001222605661729921,10000.0,0.879443847364638,7.74e-11,0
0.06,7.08909795158213e+18,1e-07,1.5650911160409295e-22,1.1e-06,1
0.06,4.928289827336988e+17,3.792690190732254e-07,2.251305141028898e-21,1.1e-06,1
0.06,3.426111585439837e+16,1.438449888287663e-06,3.238389628614252e-20,1.1e-06,1
0.06,2381808093098261.5,5.455594781168514e-06,4.658261199511222e-19,1.1e-06,1
0.06,165581582819934.72,2.06913808111479e-05,6.7006753020561795e-18,1.1e-06,1
0.06,11511112355612.73,7.847599703514623e-05,9.638585639698672e-17,1.1e-06,1
0.06,800244238564.2609,0.00029763514416313193,1.3864622436966527e-15,1.1e-06,1
0.06,55632402986.25459,0.0011288378916846883,1.9943564601403157e-14,1.1e-06,1
0.06,3867524582.010376,0.004281332398719396,2.868781839296634e-13,1.1e-06,1
0.06,268867525.82362807,0.01623776739188724,4.126599163274857e-12,1.1e-06,1
0.06,18691479.604924023,0.06158482110660267,5.93591112007861e-11,1.1e-06,1
0.06,7089101.007805764,0.1,1.5650948164142238e-10,1.1e-06,1
0.06,3426114.576019491,0.14384498882876628,3.238405249439726e-10,1.1e-06,1
0.06,1655818.7357087457,0.20691380811147897,6.700741029357165e-10,1.1e-06,1
0.06,1299420.8562825723,0.23357214690901212,8.538608976085572e-10,1.1e-06,1
0.06,800247.0468809535,0.29763514416313175,1.3864898455172694e-09,1.1e-06,1
0.06,386755.1580583894,0.42813323987193935,2.8688979894129303e-09,1.1e-06,1
0.06,186917.36491679618,0.6158482110660264,5.936400282322198e-09,1.1e-06,1
0.06,90337.14199009302,0.8858667904100825,1.2284377389753256e-08,1.1e-06,1
0.06,90337.14199009289,0.8858667904100832,1.2284377389752383e-08,1.1e-06,1
0.06,43660.66049523663,1.2742749857031335,2.5423680006442477e-08,1.1e-06,1
0.06,21084.797095227023,1.8329807108324356,5.304472122287723e-08,1.1e-06,1
0.06,10187.163855749137,2.636650898730358,1.0943550457108789e-07,1.1e-06,1
0.06,6272.387907424202,3.359818286283788,1.7730953605226066e-07,1.1e-06,1
0.06,4921.797883506173,3.79269019073225,2.2569873590500908e-07,1.1e-06,1
0.06,2378.0673796062842,5.455594781168517,4.658164023311458e-07,1.1e-06,1
0.06,1149.299351972385,7.847599703514611,9.63907939003187e-07,1.1e-06,1
0.06,555.2653276743341,11.288378916846883,1.988436710332448e-06,1.1e-06,0
0.06,435.7293396770454,12.742749857031322,2.5327356918173456e-06,1.1e-06,0
0.06,268.3571954605832,16.23776739188721,4.115171240533007e-06,1.1e-06,0
0.06,129.67867725852935,23.357214690901213,8.504934174000585e-06,1.1e-06,0
0.06,62.68969681953086,33.59818286283781,1.7648715176140553e-05,6.96e-11,0
0.06,30.297979094167342,48.32930238571752,3.6501246111456676e-05,6.96e-11,0
0.06,30.297979094167342,48.32930238571752,3.6501246111456676e-05,6.96e-11,0
0.06,14.639627657441912,69.51927961775606,7.53316389333285e-05,6.96e-11,0
0.06,7.075636704760558,100.0,0.00015588749455777926,6.96e-11,0
0.06,2.1062170237710522,183.29807108324374,0.000524003614682183,6.96e-11,0
0.06,0.14643432541248425,695.192796177562,0.007533633355144755,6.96e-11,0
0.06,0.010176221363095459,2636.6508987303664,0.10833223124227642,6.96e-11,0
0.06,0.0007075371582251994,10000.0,1.5606816256548028,6.96e-11,0
0.07,4.464311993302027e+18,1e-07,2.6156956247573212e-22,4.52e-06,1
0.07,3.1035575376326483e+17,3.792690190732254e-07,3.762547079226379e-21,4.52e-06,1
0.07,2.15757084268479e+16,1.438449888287663e-06,5.4122354257899115e-20,4.52e-06,1
0.07,1499927707077218.8,5.455594781168514e-06,7.785229443612566e-19,4.52e-06,1
0.07,104273893674722.42,2.06913808111479e-05,1.1198662423465856e-17,4.52e-06,1
0.07,7249045971207.115,7.847599703514623e-05,1.610871471201249e-16,4.52e-06,1
0.07,503948453836.21265,0.00029763514416313193,2.317157887843837e-15,4.52e-06,1
0.07,35034133477.06945,0.0011288378916846883,3.333115505882855e-14,4.52e-06,1
0.07,2435547723.24823,0.004281332398719396,4.794519647145726e-13,4.52e-06,1
0.07,169317525.07047847,0.01623776739188724,6.896676663662687e-12,4.52e-06,1
0.07,11770834.193991832,0.06158482110660267,9.920532157267645e-11,4.52e-06,1
0.07,4464313.917968999,0.1,2.6157018090938994e-10,4.52e-06,1
0.07,2157572.7260127803,0.14384498882876628,5.412261532464741e-10,4.52e-06,1
0.07,1042740.7677621604,0.20691380811147897,1.1198772271775548e-09,4.52e-06,1
0.07,818301.5882816777,0.23357214690901212,1.4270352640399595e-09,4.52e-06,1
0.07,503950.2223851675,0.29763514416313175,2.317204018040784e-09,4.52e-06,1
0.07,243556.4725724272,0.42813323987193935,4.794713765780672e-09,4.52e-06,1
0.07,117709.95969804983,0.6158482110660264,9.92134968126177e-09,4.52e-06,1
0.07,56889.210646816035,0.8858667904100825,2.0530556887018363e-08,4.52e-06,1
0.07,56889.210646815955,0.8858667904100832,2.0530556887016904e-08,4.52e-06,1
0.07,27495.008798894843,1.2742749857031335,4.248992782369272e-08,4.52e-06,1
0.07,13278.010856904652,1.8329807108324356,8.865224765324354e-08,4.52e-06,1
0.07,6415.29866139299,2.636650898730358,1.828966809445608e-07,4.52e-06,1
0.07,3949.994515654048,3.359818286283788,2.963327648634612e-07,4.52e-06,1
0.07,3099.4694271451726,3.79269019073225,3.7720436207788914e-07,4.52e-06,1
0.07,1497.5720716685232,5.455594781168517,7.785067035585361e-07,4.52e-06,1
0.07,723.7636007565005,7.847599703514611,1.6109539903960126e-06,4.52e-06,1
0.07,349.6746322639342,11.288378916846883,3.3232219837016885e-06,4.52e-06,1
0.07,274.3976415260588,12.742749857031322,4.232894557929424e-06,4.52e-06,1
0.07,168.9961519082612,16.23776739188721,6.87757747690637e-06,4.52e-06,0
0.07,81.66428073162112,23.357214690901213,1.4214072829227263e-05,6.58e-11,0
0.07,39.47841830262904,33.59818286283781,2.9495833562454227e-05,6.58e-11,0
0.07,19.07995009217597,48.32930238571752,6.1003572746259584e-05,6.58e-11,0
0.07,19.07995009217597,48.32930238571752,6.1003572746259584e-05,6.58e-11,0
0.07,9.219207696653186,69.51927961775606,0.00012589978713964706,6.58e-11,0
0.07,4.455834933419142,100.0,0.0002605306702530031,6.58e-11,0
0.07,1.3263760969498082,183.29807108324374,0.0008757534614012618,6.58e-11,0
0.07,0.0922160374408484,695.192796177562,0.012590763313145422,6.58e-11,0
0.07,0.006408407413156374,2636.6508987303664,0.18105280924309486,6.58e-11,0
0.07,0.000445566801213581,10000.0,2.6083261594321487,6.58e-11,0
0.08,2.9907571393847726e+18,1e-07,4.148253516831858e-22,1.78e-05,1
0.08,2.0791528184168973e+17,3.792690190732254e-07,5.9670548078751885e-21,1.78e-05,1
0.08,1.445412061515702e+16,1.438449888287663e-06,8.583309321793875e-20,1.78e-05,1
0.08,1004840052673875.6,5.455594781168514e-06,1.2346660335070537e-18,1.78e-05,1
0.08,69855756592956.89,2.06913808111479e-05,1.7760052179719882e-17,1.78e-05,1
0.08,4856321875496.966,7.847599703514623e-05,2.554694507391188e-16,1.78e-05,1
0.08,337607998377.7703,0.00029763514416313193,3.6748000288430626e-15,1.78e-05,1
0.08,23470264841.683968,0.0011288378916846883,5.286015692505567e-14,1.78e-05,1
0.08,1631635905.4980242,0.004281332398719396,7.603668714182656e-13,1.78e-05,1
0.08,113430154.00521176,0.01623776739188724,1.0937497067207597e-11,1.78e-05,1
0.08,7885583.815620841,0.06158482110660267,1.573305472575661e-10,1.78e-05,1
0.08,2990758.428784018,0.1,4.14826332462284e-10,1.78e-05,1
0.08,1445413.3232209156,0.14384498882876628,8.583350724587323e-10,1.78e-05,1
0.08,698558.7925889535,0.20691380811147897,1.7760226389070804e-09,1.78e-05,1
0.08,548201.2281096053,0.23357214690901212,2.2631471325131954e-09,1.78e-05,1
0.08,337609.18318966357,0.29763514416313175,3.6748731871073143e-09,1.78e-05,1
0.08,163164.7296050525,0.42813323987193935,7.603976568545556e-09,1.78e-05,1
0.08,78856.92194994705,0.6158482110660264,1.573435124388036e-08,1.78e-05,1
