#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B0->K0  mu  mu) 

0.27776462527006957,25384.978667559153,0.20691380811147897,1.0761722392642378e-10
0.27776462527006957,15633.332808498491,0.26366508987303583,1.7478095909561224e-10
0.27776462527006957,9627.811161753107,0.33598182862837817,2.839292281135746e-10
0.27776462527006957,5929.335312007831,0.42813323987193935,4.6146364783093386e-10
0.27776462527006957,3651.650120425391,0.5455594781168519,7.507062909249729e-10
0.27776462527006957,2248.9553596622827,0.6951927961775606,1.2232962126928517e-09
0.27776462527006957,1385.1195193073663,0.8858667904100825,1.9990811771058344e-09
0.27776462527006957,853.1354663340809,1.1288378916846888,3.281824865293822e-09
0.27776462527006957,525.4618846970903,1.438449888287663,5.378574270242024e-09
0.27776462527006957,323.3315263314983,1.8329807108324356,8.966732609933831e-09
0.27776462527006957,199.242443848633,2.3357214690901213,1.3896766715358423e-08
0.27776462527006957,122.71964260720824,2.9763514416313175,2.2793049156176613e-08
0.27776462527006957,75.5549041908169,3.79269019073225,3.60332642522288e-08
0.27776462527006957,46.47939974626557,4.832930238571752,5.8840504830499736e-08
0.27776462527006957,28.62284215059249,6.158482110660261,9.515887067324774e-08
0.27776462527006957,17.629217426907726,7.847599703514611,1.565776718010332e-07
0.27776462527006957,10.855657428849925,10.0,2.5156702690165935e-07
0.29662402469268634,89296.37502216596,0.1,2.386416002090814e-11
0.29662402469268634,54993.02777282512,0.12742749857031338,3.8750704262898854e-11
0.29662402469268634,33867.376947045865,0.16237767391887217,6.2924874377555e-11
0.29662402469268634,20857.188678571834,0.20691380811147897,1.0218486430866093e-10
0.29662402469268634,12844.895629119403,0.26366508987303583,1.6595828763752678e-10
0.29662402469268634,7910.5495503619595,0.33598182862837817,2.6959697448854947e-10
0.29662402469268634,4871.753229756446,0.42813323987193935,4.3816994610321555e-10
0.29662402469268634,3000.3283700265956,0.5455594781168519,7.128128252054019e-10
0.29662402469268634,1847.8263109826728,0.6951927961775606,1.1615496101702246e-09
0.29662402469268634,1138.0695345882457,0.8858667904100825,1.898181772872398e-09
0.29662402469268634,700.973635638332,1.1288378916846888,3.1161970282647366e-09
0.29662402469268634,431.7444186405336,1.438449888287663,5.107148704065752e-09
0.29662402469268634,265.66744596454004,1.8329807108324356,8.514327046589351e-09
0.29662402469268634,163.7055154181294,2.3357214690901213,1.319535379866994e-08
0.29662402469268634,100.83180716847464,2.9763514416313175,2.164271381965559e-08
0.29662402469268634,62.078466934997635,3.79269019073225,3.421430726156796e-08
0.29662402469268634,38.189120112158164,4.832930238571752,5.587034488088123e-08
