#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.15108560153798137,76965.56279062117,0.29763514416313175,2.4158901582528754e-08,2.0046e-06,1
0.15108560153798137,37197.78667944294,0.42813323987193935,4.999971388963614e-08,2.0046e-06,1
0.15108560153798137,17978.603077693027,0.6158482110660264,1.035264724519169e-07,2.0046e-06,1
0.15108560153798137,8690.363019792649,0.8858667904100825,2.1457822332787668e-07,2.0046e-06,1
0.15108560153798137,8690.363019792636,0.8858667904100832,2.1457822332787784e-07,2.0046e-06,1
0.15108560153798137,4201.56984898218,1.2742749857031335,4.456871618509843e-07,2.0046e-06,1
0.15108560153798137,2029.3139928585804,1.8329807108324356,9.292749445367983e-07,2.0046e-06,1
0.15108560153798137,981.0081423810373,2.636650898730358,1.901288252147936e-06,2.0046e-06,1
0.15108560153798137,603.6799498731255,3.359818286283788,3.1010898903495233e-06,2.0046e-06,0
0.15108560153798137,473.97709653467007,3.79269019073225,3.919545955672407e-06,2.0046e-06,0
0.15108560153798137,228.8787045038061,5.455594781168517,8.153658282716092e-06,1.490376825914159e-06,0
0.15108560153798137,110.60345339139045,7.847599703514611,1.6863158361976416e-05,9.081156497044778e-07,0
0.15108560153798137,53.44034059977821,11.288378916846883,3.477514009877779e-05,6.267054563055569e-07,0
0.15108560153798137,41.94088614499049,12.742749857031322,4.436163259983171e-05,5.70094408654934e-07,0
0.15108560153798137,25.83350438252888,16.23776739188721,7.21536682776823e-05,4.4216695121518994e-07,0
0.15108560153798137,12.480323470230493,23.357214690901213,0.00014868576251185923,2.8984276548829817e-07,0
0.15108560153798137,6.031023241084107,33.59818286283781,0.0003073579156366881,2.162734480076823e-07,0
0.15108560153798137,2.9150577686079506,48.32930238571752,0.0006369630014883147,1.855e-07,0
0.15108560153798137,2.9150577686079506,48.32930238571752,0.0006369630014883147,1.855e-07,0
0.15108560153798137,1.408947804938285,69.51927961775606,0.0013191391373370911,1.855e-07,0
0.15108560153798137,0.6807824402858864,100.0,0.0027224192502102243,1.855e-07,0
0.15108560153798137,0.20263330071973829,183.29807108324374,0.009150659973816574,1.855e-07,0
0.15108560153798137,0.014087620396826832,695.192796177562,0.1316694943756809,1.855e-07,0
0.15108560153798137,0.000979307392613584,2636.6508987303664,1.8924953773325321,1.855e-07,0
0.15108560153798137,6.808976793671071e-05,10000.0,27.263874411253994,1.855e-07,0
0.16408455124660903,5.3226054559156986e+17,1e-07,2.7271262661396733e-21,2.0046e-06,1
0.16408455124660903,3.7002369698479656e+16,3.792690190732254e-07,3.9228344728749516e-20,2.0046e-06,1
0.16408455124660903,2572378085588196.0,1.438449888287663e-06,5.642800809277973e-19,2.0046e-06,1
0.16408455124660903,178829871414594.44,5.455594781168514e-06,8.11688619373533e-18,2.0046e-06,1
0.16408455124660903,12432123834878.643,2.06913808111479e-05,1.1675734038621102e-16,2.0046e-06,1
0.16408455124660903,864272293119.6296,7.847599703514623e-05,1.6794958323506905e-15,2.0046e-06,1
