#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(K+->pi+  a) 

0.01,29970409.925180033,0.8858667904100825,3.76447379879126e-11
0.01,29970409.92518,0.8858667904100832,3.764473798789369e-11
0.01,21412766.869279705,1.0481131341546852,5.277150332432856e-11
0.01,14706365.084473053,1.2648552168552958,7.702948978487662e-11
0.01,14489898.893506452,1.2742749857031335,7.818955940653717e-11
0.01,10094872.57587023,1.5264179671752318,1.118161469992913e-10
0.01,6998466.45096748,1.8329807108324356,1.6302825503802656e-10
0.01,6929261.443083964,1.8420699693267144,1.6456926391892316e-10
0.01,4759677.183192325,2.2229964825261934,2.3732768430532206e-10
0.01,3383198.6695795124,2.636650898730358,3.3355434193924833e-10
0.01,3268117.9022102836,2.6826957952797246,3.45361290292109e-10
0.01,2244407.9276259663,3.2374575428176433,5.03578779254266e-10
0.01,2081906.7617188182,3.359818286283788,5.440427108173141e-10
0.01,1634605.3969765063,3.79269019073225,6.876293217727858e-10
0.01,1540501.0017577503,3.906939937054613,7.302380855591185e-10
0.01,1056603.1098420308,4.714866363457389,1.0652926358998964e-09
0.01,789334.4126394211,5.455594781168517,1.4304449211604941e-09
0.01,725851.4923391527,5.689866029018293,1.5604030764705256e-09
0.01,498193.4205055497,6.866488450042998,2.2607204463554118e-09
0.01,381438.68811773544,7.847599703514611,2.9584044726047503e-09
0.01,342076.33197370934,8.286427728546842,3.2943809966143145e-09
0.01,234863.14071076975,10.0,4.791057963640518e-09
0.01,184300.10731099828,11.288378916846883,6.100810212009864e-09
0.01,144641.80128995277,12.742749857031322,7.782625795132566e-09
0.01,89092.04805448477,16.23776739188721,1.2658348491067335e-08
0.01,43040.999898679605,23.357214690901213,2.608482988970843e-08
0.01,20799.251869045023,33.59818286283781,5.3921631602873744e-08
0.01,10053.184340631275,48.32930238571752,1.1174621761719181e-07
0.01,10053.184340631275,48.32930238571752,1.1174621761719181e-07
0.01,4859.0470618505,69.51927961775606,2.3142444606637877e-07
0.01,2347.821563372905,100.0,4.776102398004111e-07
0.01,698.8234721141092,183.29807108324374,1.6053548371938332e-06
