#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(KL->pi0  a) 

0.13488999999999998,3843.225128668399,1.2742749857031335,4.4105705429100194e-07
0.13488999999999998,1855.996424693683,1.8329807108324356,9.202345404882783e-07
0.13488999999999998,896.728295352587,2.636650898730358,1.898517495057456e-06
0.13488999999999998,552.1287547967146,3.359818286283788,3.0760150241466673e-06
0.13488999999999998,433.2426055975903,3.79269019073225,3.9154842882793e-06
0.13488999999999998,209.32992063553414,5.455594781168517,8.081112183623498e-06
0.13488999999999998,101.16729208109246,7.847599703514611,1.6722142352197816e-05
0.13488999999999998,48.877326119062886,11.288378916846883,3.449595172221648e-05
0.13488999999999998,38.35514653199681,12.742749857031322,4.393860146318582e-05
0.13488999999999998,23.622183705709602,16.23776739188721,7.139113239281651e-05
0.13488999999999998,11.414985242290603,23.357214690901213,0.00014754595765731053
0.13488999999999998,5.518272558938945,33.59818286283781,0.0003061748073306827
0.13488999999999998,2.666983773302816,48.32930238571752,0.0006332337444378775
0.13488999999999998,2.666983773302816,48.32930238571752,0.0006332337444378775
0.13488999999999998,1.288655049181821,69.51927961775606,0.0013068741722059008
0.13488999999999998,0.6228337496507835,100.0,0.0027043795049747255
0.13488999999999998,0.18539998531630536,183.29807108324374,0.009090560086934507
0.13488999999999998,0.01288989138461393,695.192796177562,0.1306955615743504
0.13488999999999998,0.0008957633382186823,2636.6508987303664,1.8793776032573666
0.13488999999999998,6.22810748367755e-05,10000.0,27.07513783696808
0.14989,4.5487142147810534e+17,1e-07,3.9733378342420136e-21
0.14989,3.1622333539862508e+16,3.792690190732254e-07,5.715447363794087e-20
0.14989,2198361847523652.5,1.438449888287663e-06,8.221384621963095e-19
0.14989,152828531979004.0,5.455594781168514e-06,1.1826049791030502e-17
0.14989,10624529448219.705,2.06913808111479e-05,1.701118000080361e-16
0.14989,738609633518.0651,7.847599703514623e-05,2.4469729971807585e-15
0.14989,51347609641.10403,0.00029763514416313193,3.5198480345114397e-14
0.14989,3569648832.536271,0.0011288378916846883,5.063125013504494e-13
0.14989,248159415.51886246,0.004281332398719396,7.283051640531847e-12
0.14989,17251863.98833841,0.01623776739188724,1.0476305445824688e-10
0.14989,1199337.3424219934,0.06158482110660267,1.5069653129057463e-09
0.14989,454871.61757936777,0.1,3.973347228476676e-09
0.14989,219836.37664071438,0.14384498882876628,8.221424278962115e-09
0.14989,106245.48103940535,0.20691380811147897,1.7011346864425198e-08
0.14989,83377.23868533535,0.23357214690901212,2.1677190387675833e-08
0.14989,51347.78983278004,0.29763514416313175,3.5199181079768293e-08
0.14989,24816.11478386079,0.42813323987193935,7.283346513876155e-08
0.14989,11993.538251724302,0.6158482110660264,1.5070894978065243e-07
0.14989,5796.475723371193,0.8858667904100825,3.118667082865054e-07
0.14989,5796.475723371186,0.8858667904100832,3.118667082864833e-07
0.14989,2801.482904347074,1.2742749857031335,6.454376273682612e-07
0.14989,1352.9024229349006,1.8329807108324356,1.3466602396595969e-06
0.14989,653.657553809838,2.636650898730358,2.7782678354318712e-06
0.14989,402.4666338633102,3.359818286283788,4.501403661088329e-06
0.14989,315.8062686299484,3.79269019073225,5.729872959604206e-06
0.14989,152.58827601880824,5.455594781168517,1.1825803087265367e-05
0.14989,73.74461499087785,7.847599703514611,2.4470983468718692e-05
0.14989,35.628507430075615,11.288378916846883,5.048096389522302e-05
0.14989,27.95850133015184,12.742749857031322,6.429922478819954e-05
0.14989,17.2190978008989,16.23776739188721,0.00010447293078856661
0.14989,8.320811433489272,23.357214690901213,0.00021591699285072573
0.14989,4.022474351670665,33.59818286283781,0.00044805255755656987
0.14989,1.94406562668461,48.32930238571752,0.0009266667012876791
0.14989,1.94406562668461,48.32930238571752,0.0009266667012876791
0.14989,0.9393494831827462,69.51927961775606,0.0019124640605360464
0.14989,0.4540071702524475,100.0,0.003957556679373692
0.14989,0.13514510735019936,183.29807108324374,0.01330301709694098
0.14989,0.009395938850118052,695.192796177562,0.19125832440366017
0.14989,0.000652955624472584,2636.6508987303664,2.7502587462871717
0.14989,4.539900941751108e-05,10000.0,39.621433454347155
0.18003,2.625897159944513e+17,1e-07,7.606610988972814e-21
0.18003,1.825504789096538e+16,3.792690190732254e-07,1.094172872733473e-19
0.18003,1269077778767552.5,1.438449888287663e-06,1.573912846550755e-18
0.18003,88225372958822.45,5.455594781168514e-06,2.263994758295025e-17
0.18003,6133364372105.28,2.06913808111479e-05,3.256643007155524e-16
0.18003,426387072782.0833,7.847599703514623e-05,4.6845177698376345e-15
0.18003,29642122138.24575,0.00029763514416313193,6.738444062845899e-14
0.18003,2060698977.5038047,0.0011288378916846883,9.692914112251295e-13
0.18003,143258308.5363016,0.004281332398719396,1.3942771280281645e-11
0.18003,9959214.519042289,0.01623776739188724,2.005597899108621e-10
0.18003,692357.5262531315,0.06158482110660267,2.884954511132442e-09
0.18003,262589.8292221538,0.1,7.606628973421053e-09
0.18003,126907.88867281913,0.14384498882876628,1.573920438539584e-08
0.18003,61333.751440074746,0.20691380811147897,3.2566749517499834e-08
0.18003,48132.294981375955,0.23357214690901212,4.1499102641597195e-08
0.18003,29642.226183267136,0.29763514416313175,6.738578212423434e-08
0.18003,14325.930881928725,0.42813323987193935,1.3943335789748183e-07
0.18003,6923.670440400479,0.6158482110660264,2.885192252364205e-07
0.18003,3346.2091815713334,0.8858667904100825,5.970417893749175e-07
0.18003,3346.2091815713266,0.8858667904100832,5.97041789374875e-07
0.18003,1617.2495806801671,1.2742749857031335,1.2356344096203814e-06
0.18003,781.0098609182216,1.8329807108324356,2.5780643390374057e-06
0.18003,377.3464295192599,2.636650898730358,5.318753030558079e-06
0.18003,232.33774578366112,3.359818286283788,8.617547256906965e-06
0.18003,182.31004493709983,3.79269019073225,1.0969345280517319e-05
0.18003,88.08681554602329,5.455594781168517,2.263947528996909e-05
0.18003,42.571602533520604,7.847599703514611,4.6847577409595594e-05
0.18003,20.56777211463558,11.288378916846883,9.664143113886418e-05
0.18003,16.13999859611096,12.742749857031322,0.0001230952942489111
0.18003,9.940311476189208,16.23776739188721,0.00020000437328483733
0.18003,4.80347197136269,23.357214690901213,0.0004133543733357403
0.18003,2.3221109562486566,33.59818286283781,0.0008577577971286068
0.18003,1.122278153496838,48.32930238571752,0.0017740231027887751
0.18003,1.122278153496838,48.32930238571752,0.0017740231027887751
0.18003,0.5422714363631745,69.51927961775606,0.0036612467264979585
0.18003,0.26209107058768016,100.0,0.00757639933543418
0.18003,0.07801710453519446,183.29807108324374,0.025467473509055004
0.18003,0.005424123828722377,695.192796177562,0.3661474892982372
0.18003,0.00037694087032125943,2636.6508987303664,5.2651320564130915
0.18003,2.6208127656365822e-05,10000.0,75.85180110167671
0.20008,1.9136766435579552e+17,1e-07,1.0915527953623507e-20
0.20008,1.3303742168147408e+16,3.792690190732254e-07,1.5701439965489272e-19
0.20008,924866571749973.8,1.438449888287663e-06,2.2585734564312044e-18
0.20008,64296057810602.02,5.455594781168514e-06,3.248844736092334e-17
0.20008,4469815621254.718,2.06913808111479e-05,4.673300347699126e-16
0.20008,310738362013.903,7.847599703514623e-05,6.722308363085334e-15
0.20008,21602307076.8894,0.00029763514416313193,9.669703714118201e-14
0.20008,1501776826.148115,0.0011288378916846883,1.3909384231391898e-12
0.20008,104402443.18150035,0.004281332398719396,2.000795227750239e-11
0.20008,7257982.720735324,0.01623776739188724,2.878043844122627e-10
0.20008,504569.80845399934,0.06158482110660267,4.1399253434742675e-09
0.20008,191367.74688466333,0.1,1.0915553761404103e-08
0.20008,92486.73793185446,0.14384498882876628,2.2585843509762795e-08
0.20008,44698.234727112875,0.20691380811147897,4.6733461883651337e-08
0.20008,35077.401409222606,0.23357214690901212,5.9551436979139596e-08
0.20008,21602.382914250746,0.29763514416313175,9.669896219488291e-08
0.20008,10440.317228795906,0.42813323987193935,2.000876235164329e-07
0.20008,5045.767461272122,0.6158482110660264,4.140266503429048e-07
0.20008,2438.6188823557973,0.8858667904100825,8.567582003142979e-07
0.20008,2438.618882355793,0.8858667904100832,8.567582003142372e-07
0.20008,1178.6039640580184,1.2742749857031335,1.7731420678963494e-06
0.20008,569.1777100885246,1.8329807108324356,3.6995362849234936e-06
0.20008,274.9992566644162,2.636650898730358,7.632439396156945e-06
0.20008,169.32106043770807,3.359818286283788,1.2366226971617746e-05
0.20008,132.86230262366132,3.79269019073225,1.5741069868830496e-05
0.20008,64.19512030353805,5.455594781168517,3.2487769617938256e-05
0.20008,31.024952350403137,7.847599703514611,6.722652722944573e-05
0.20008,14.989194319831276,11.288378916846883,0.00013868097692963581
0.20008,11.762361449453778,12.742749857031322,0.00017664241372161252
0.20008,7.244210262800996,16.23776739188721,0.0002870073585467268
0.20008,3.5006305698660283,23.357214690901213,0.0005931657637599384
0.20008,1.692287218018641,33.59818286283781,0.0012308870830346193
0.20008,0.8178837944761592,48.32930238571752,0.0025457327575890303
0.20008,0.8178837944761592,48.32930238571752,0.0025457327575890303
0.20008,0.3951916263501007,69.51927961775606,0.005253908875600034
0.20008,0.19100433507102346,100.0,0.010872174067220717
0.20008,0.05685659239917597,183.29807108324374,0.0365459623739475
0.20008,0.003952943079048939,695.192796177562,0.525423629574053
0.20008,0.0002747035297568347,2636.6508987303664,7.555493007939033
0.20008,1.90997223337424e-05,10000.0,108.84774526504998
0.21999000000000002,1.4039272242860894e+17,1e-07,1.4891429667768594e-20
0.21999000000000002,9760000926812462.0,3.792690190732254e-07,2.1420575342043518e-19
0.21999000000000002,678508233500635.5,1.438449888287663e-06,3.0812424207817997e-18
0.21999000000000002,47169403607680.484,5.455594781168514e-06,4.432212815959954e-17
0.21999000000000002,3279182958805.1772,2.06913808111479e-05,6.375516029989033e-16
0.21999000000000002,227966437031.0156,7.847599703514623e-05,9.17086032111779e-15
0.21999000000000002,15848062479.479969,0.00029763514416313193,1.3191823004690427e-13
0.21999000000000002,1101745886.9677424,0.0011288378916846883,1.897577633292425e-12
0.21999000000000002,76592580.44080955,0.004281332398719396,2.72957034604626e-11
0.21999000000000002,5324661.072853059,0.01623776739188724,3.9263503943736677e-10
0.21999000000000002,370166.6569652702,0.06158482110660267,5.6478630574799376e-09
0.21999000000000002,140392.78039804247,0.1,1.4891464875845686e-08
0.21999000000000002,67850.88004603102,0.14384498882876628,3.0812572835857276e-08
0.21999000000000002,32791.88466814935,0.20691380811147897,6.375578567784425e-08
0.21999000000000002,25733.769681527367,0.23357214690901212,8.124261503036398e-08
0.21999000000000002,15848.115620557792,0.29763514416313175,1.3192085628742286e-07
0.21999000000000002,7659.309043848075,0.42813323987193935,2.729680859822104e-07
